Acc Treino: 0.6132, Acc Val: 0.5795, Hiddem Dim: 32, Batch size: 16, Lr: 0.001
Acc Treino: 0.6860, Acc Val: 0.5778, Hiddem Dim: 32, Batch size: 16, Lr: 0.005
Acc Treino: 0.6379, Acc Val: 0.5520, Hiddem Dim: 32, Batch size: 16, Lr: 0.01
Acc Treino: 0.3822, Acc Val: 0.3027, Hiddem Dim: 32, Batch size: 16, Lr: 0.05
Acc Treino: 0.6022, Acc Val: 0.5692, Hiddem Dim: 32, Batch size: 32, Lr: 0.001
Acc Treino: 0.7129, Acc Val: 0.6466, Hiddem Dim: 32, Batch size: 32, Lr: 0.005
Acc Treino: 0.6477, Acc Val: 0.4299, Hiddem Dim: 32, Batch size: 32, Lr: 0.01
Acc Treino: 0.4284, Acc Val: 0.3224, Hiddem Dim: 32, Batch size: 32, Lr: 0.05
Acc Treino: 0.6298, Acc Val: 0.6182, Hiddem Dim: 32, Batch size: 64, Lr: 0.001
Acc Treino: 0.6952, Acc Val: 0.5959, Hiddem Dim: 32, Batch size: 64, Lr: 0.005
Acc Treino: 0.6466, Acc Val: 0.5623, Hiddem Dim: 32, Batch size: 64, Lr: 0.01
