Acc Treino: 0.6394, Acc Val: 0.5942, Hiddem Dim: 32, Batch size: 16, Lr: 0.001
Acc Treino: 0.7041, Acc Val: 0.5821, Hiddem Dim: 32, Batch size: 16, Lr: 0.005
Acc Treino: 0.6226, Acc Val: 0.5899, Hiddem Dim: 32, Batch size: 16, Lr: 0.01
Acc Treino: 0.3554, Acc Val: 0.1849, Hiddem Dim: 32, Batch size: 16, Lr: 0.05
Acc Treino: 0.6184, Acc Val: 0.5899, Hiddem Dim: 32, Batch size: 32, Lr: 0.001
Acc Treino: 0.6934, Acc Val: 0.6492, Hiddem Dim: 32, Batch size: 32, Lr: 0.005
Acc Treino: 0.6057, Acc Val: 0.5529, Hiddem Dim: 32, Batch size: 32, Lr: 0.01
Acc Treino: 0.4185, Acc Val: 0.3130, Hiddem Dim: 32, Batch size: 32, Lr: 0.05
Acc Treino: 0.5801, Acc Val: 0.5856, Hiddem Dim: 32, Batch size: 64, Lr: 0.001
Acc Treino: 0.7083, Acc Val: 0.6354, Hiddem Dim: 32, Batch size: 64, Lr: 0.005
Acc Treino: 0.7140, Acc Val: 0.6062, Hiddem Dim: 32, Batch size: 64, Lr: 0.01
Acc Treino: 0.4992, Acc Val: 0.3611, Hiddem Dim: 32, Batch size: 64, Lr: 0.05
Acc Treino: 0.7238, Acc Val: 0.6466, Hiddem Dim: 64, Batch size: 16, Lr: 0.001
Acc Treino: 0.7417, Acc Val: 0.6733, Hiddem Dim: 64, Batch size: 16, Lr: 0.005
Acc Treino: 0.6934, Acc Val: 0.5262, Hiddem Dim: 64, Batch size: 16, Lr: 0.01
Acc Treino: 0.3527, Acc Val: 0.1677, Hiddem Dim: 64, Batch size: 16, Lr: 0.05
Acc Treino: 0.6914, Acc Val: 0.6475, Hiddem Dim: 64, Batch size: 32, Lr: 0.001
Acc Treino: 0.7533, Acc Val: 0.6801, Hiddem Dim: 64, Batch size: 32, Lr: 0.005
Acc Treino: 0.6908, Acc Val: 0.5916, Hiddem Dim: 64, Batch size: 32, Lr: 0.01
Acc Treino: 0.4325, Acc Val: 0.3104, Hiddem Dim: 64, Batch size: 32, Lr: 0.05
Acc Treino: 0.6825, Acc Val: 0.6629, Hiddem Dim: 64, Batch size: 64, Lr: 0.001
Acc Treino: 0.7415, Acc Val: 0.6724, Hiddem Dim: 64, Batch size: 64, Lr: 0.005
Acc Treino: 0.7194, Acc Val: 0.6242, Hiddem Dim: 64, Batch size: 64, Lr: 0.01
Acc Treino: 0.5261, Acc Val: 0.2941, Hiddem Dim: 64, Batch size: 64, Lr: 0.05
Acc Treino: 0.7404, Acc Val: 0.6733, Hiddem Dim: 128, Batch size: 16, Lr: 0.001
Acc Treino: 0.7875, Acc Val: 0.6870, Hiddem Dim: 128, Batch size: 16, Lr: 0.005
Acc Treino: 0.6928, Acc Val: 0.5469, Hiddem Dim: 128, Batch size: 16, Lr: 0.01
Acc Treino: 0.3639, Acc Val: 0.1462, Hiddem Dim: 128, Batch size: 16, Lr: 0.05
Acc Treino: 0.7328, Acc Val: 0.6535, Hiddem Dim: 128, Batch size: 32, Lr: 0.001
Acc Treino: 0.7864, Acc Val: 0.6879, Hiddem Dim: 128, Batch size: 32, Lr: 0.005
Acc Treino: 0.7094, Acc Val: 0.6165, Hiddem Dim: 128, Batch size: 32, Lr: 0.01
Acc Treino: 0.4133, Acc Val: 0.1109, Hiddem Dim: 128, Batch size: 32, Lr: 0.05
Acc Treino: 0.6750, Acc Val: 0.6303, Hiddem Dim: 128, Batch size: 64, Lr: 0.001
Acc Treino: 0.7776, Acc Val: 0.6750, Hiddem Dim: 128, Batch size: 64, Lr: 0.005
Acc Treino: 0.7734, Acc Val: 0.6879, Hiddem Dim: 128, Batch size: 64, Lr: 0.01
Acc Treino: 0.0451, Acc Val: 0.0344, Hiddem Dim: 128, Batch size: 64, Lr: 0.05
